battery_id,cycle,capacity_Ah,voltage_mean_V,voltage_min_V,current_mean_A,temperature_max_C,internal_resistance_ohm,discharge_time_s,is_synthetic_fault
B0005,63,1.8073,3.6497,2.9121,-1.9786,32.967,0.05451,3264.0,False
B0005,64,1.8229,3.6666,2.8932,-1.9466,32.731,0.05577,3292.7,False
B0005,65,1.8054,3.6778,2.9355,-1.8962,33.237,0.05421,3282.0,False
B0005,66,1.7953,3.676,2.8856,-1.9843,32.395,0.05092,3169.3,False
B0005,67,1.7896,3.6593,2.9337,-1.9031,34.369,0.05228,3231.7,False
B0005,68,1.7937,3.6634,2.8676,-1.969,32.899,0.05625,3194.4,False
B0005,69,1.7949,3.7212,2.9674,-1.9283,33.322,0.05526,3229.0,False
B0005,70,1.7901,3.6529,2.9586,-2.0426,33.925,0.05637,3233.2,False
B0005,71,1.786,3.677,3.0251,-1.9532,31.453,0.05361,3155.1,False
B0005,72,1.7709,3.6929,3.0468,-2.036,31.872,0.04865,3171.4,False
B0005,73,1.8071,3.6798,2.9865,-1.9767,31.596,0.05326,3255.8,False
B0005,74,1.7791,3.6827,2.9251,-1.9666,32.637,0.05621,3251.2,False
B0005,75,1.7673,3.6473,2.7502,-2.0096,34.8,0.05377,3224.7,False
B0005,76,1.7753,3.6715,2.9307,-2.0181,32.407,0.0536,3209.1,False
B0005,77,1.7553,3.6761,2.929,-1.9426,31.074,0.05332,3109.0,False
B0005,78,1.7598,3.6689,2.8742,-2.0127,33.282,0.05521,3137.3,False
B0005,79,1.7721,3.6791,2.8257,-1.9722,33.664,0.05863,3187.2,False
B0005,80,1.759,3.6488,2.7937,-2.0622,32.557,0.05468,3176.3,False
B0005,81,1.7596,3.6486,2.947,-1.963,33.283,0.0535,3183.8,False
B0005,82,1.758,3.6347,3.0325,-1.9869,32.552,0.05522,3120.8,False
B0005,83,1.7665,3.6899,2.8615,-1.9818,30.991,0.05236,3170.9,False
B0005,84,1.7395,3.6752,2.8555,-2.0588,32.726,0.05568,3179.4,False
B0005,85,1.735,3.6652,2.8451,-2.0826,32.309,0.05445,3107.4,False
B0005,86,1.7524,3.6677,2.7743,-1.9742,32.908,0.0575,3135.4,False
B0005,87,1.7349,3.6711,2.8243,-1.9776,31.905,0.05638,3091.8,False
B0005,88,1.7406,3.6326,2.8005,-2.0403,32.273,0.05661,3140.4,False
B0005,89,1.7292,3.6884,2.831,-1.9984,33.894,0.05418,3126.7,False
B0005,90,1.727,3.6508,2.8493,-2.052,31.225,0.05868,3185.1,False
B0005,91,1.7253,3.6201,2.901,-2.0143,33.458,0.05327,3123.0,False
B0005,92,1.7316,3.6299,2.7876,-1.8974,33.782,0.05469,3112.7,False
B0005,93,1.7296,3.6248,2.9071,-2.0195,35.47,0.05506,3163.3,False
B0005,94,1.7094,3.6682,3.0629,-2.0435,33.921,0.05824,3067.2,False
B0005,95,1.7006,3.6547,2.8925,-2.0171,33.715,0.05258,3012.5,False
B0005,96,1.7193,3.6474,2.8247,-1.9608,33.956,0.05419,3055.3,False
B0005,97,1.7199,3.665,2.8027,-1.9807,34.101,0.05638,3090.8,False
B0005,98,1.7167,3.67,2.7716,-2.0261,33.264,0.05471,3113.8,False
B0005,99,1.7206,3.6489,2.7623,-1.9843,33.431,0.05749,3029.5,False
B0005,100,1.6943,3.6385,2.9647,-2.0482,32.919,0.05571,3083.2,False
B0005,101,1.6972,3.634,2.9186,-1.9475,32.841,0.05424,3071.7,False
B0005,102,1.6944,3.6671,3.0666,-1.9649,32.798,0.05609,3043.7,False
B0005,103,1.6815,3.621,2.8916,-2.0175,32.889,0.05618,3060.6,False
B0005,104,1.6679,3.6203,2.8153,-1.9269,34.275,0.05818,2968.0,False
B0005,105,1.6765,3.6604,3.0153,-1.9726,33.753,0.05703,3022.5,False
B0005,106,1.6925,3.67,3.0368,-2.1124,34.847,0.05852,3016.0,False
B0005,107,1.6632,3.6515,2.7954,-1.9101,34.537,0.05599,2966.9,False
B0005,108,1.6789,3.6459,2.9095,-1.8976,35.712,0.05869,2994.4,False
B0005,109,1.6844,3.6655,2.8852,-1.9375,34.529,0.05779,3051.0,False
B0005,110,1.6763,3.6158,3.0101,-2.0278,32.663,0.05984,3069.2,False
B0005,111,1.6835,3.6576,2.8795,-1.9994,34.102,0.05414,3042.2,False
B0005,112,1.6675,3.6241,3.0229,-2.004,35.792,0.05844,3001.9,False
B0005,113,1.6664,3.6508,2.89,-2.0541,33.85,0.05518,2962.1,False
B0005,114,1.6661,3.6577,2.8069,-2.0061,34.999,0.0588,3029.7,False
B0005,115,1.5173,3.6059,2.6354,-1.981,42.018,0.05717,2721.6,True
B0005,116,1.6572,3.6445,2.8057,-1.9874,33.553,0.0556,2992.3,False
B0005,117,1.641,3.651,3.0062,-2.057,33.673,0.06006,2919.0,False
B0005,118,1.6139,3.6048,2.7413,-1.9985,34.199,0.06015,2824.8,False
B0005,119,1.629,3.6756,3.0442,-2.019,33.473,0.05563,2922.4,False
B0005,120,1.6293,3.6811,3.0742,-1.9047,34.26,0.06092,2930.0,False
B0005,121,1.6064,3.6483,2.8656,-1.9574,33.654,0.05981,2880.6,False
B0005,122,1.5902,3.6567,2.9435,-1.9861,34.473,0.05887,2875.1,False
B0005,123,1.5657,3.6482,2.9751,-2.0721,34.547,0.05885,2797.5,False
B0005,124,1.5834,3.6107,2.8541,-2.0292,34.453,0.05889,2819.9,False
B0005,125,1.5724,3.6371,2.8885,-2.0979,34.553,0.05811,2827.2,False
B0005,126,1.5549,3.6377,2.7424,-2.0556,33.499,0.05672,2807.4,False
B0005,127,1.5576,3.625,2.9959,-2.0852,33.821,0.05773,2791.4,False
B0005,128,1.5355,3.6241,2.7685,-2.0338,33.924,0.06025,2717.9,False
B0005,129,1.5291,3.6314,2.7997,-1.9206,34.203,0.06354,2745.6,False
B0005,130,1.5024,3.6268,2.7728,-2.0376,35.383,0.06106,2685.7,False
B0005,131,1.5151,3.6504,2.788,-2.0481,35.439,0.06243,2670.7,False
B0005,132,1.492,3.6065,2.7401,-2.0286,34.882,0.06392,2680.6,False
B0005,133,1.4894,3.6188,2.9792,-1.9997,35.512,0.06254,2730.3,False
B0005,134,1.4783,3.6335,2.9712,-2.0044,36.07,0.06217,2667.3,False
B0005,135,1.4741,3.6309,2.8914,-1.9855,34.8,0.06119,2565.5,False
B0005,136,1.4591,3.5459,2.8053,-1.9774,35.723,0.05849,2605.0,False
B0005,137,1.459,3.6092,2.8224,-2.0001,35.654,0.06405,2630.1,False
B0005,138,1.4253,3.6116,3.0109,-2.0682,35.193,0.06001,2593.2,False
B0005,139,1.4256,3.6082,2.8185,-1.9888,36.063,0.05949,2534.9,False
B0005,140,1.4263,3.6057,2.8258,-1.9778,35.905,0.05841,2574.3,False
B0005,141,1.4127,3.6194,3.0073,-2.0702,35.855,0.06114,2528.3,False
B0005,142,1.404,3.6402,2.9303,-1.9343,35.466,0.06262,2550.3,False
B0005,143,1.3865,3.6106,2.8848,-2.003,34.951,0.06144,2514.8,False
B0005,144,1.3754,3.6131,2.8129,-2.0187,36.504,0.06325,2438.6,False
B0005,145,1.3798,3.597,2.7388,-2.0523,34.7,0.06251,2475.4,False
B0005,146,1.352,3.6152,2.8128,-1.9842,36.298,0.06419,2370.4,False
B0005,147,1.3417,3.5577,2.8811,-2.0002,36.995,0.06554,2421.2,False
B0005,148,1.3304,3.6093,2.8892,-2.0001,37.004,0.06228,2418.9,False
B0005,149,1.3322,3.5807,2.8174,-1.9651,36.109,0.06183,2372.1,False
B0005,150,1.31,3.6074,2.7544,-1.9781,34.898,0.06339,2361.4,False
B0005,151,1.3299,3.5719,2.8999,-1.9925,36.432,0.06364,2407.1,False
B0005,152,1.2939,3.6232,2.7783,-1.9434,35.592,0.064,2296.9,False
B0005,153,1.29,3.6224,2.9809,-2.0098,35.145,0.06374,2274.2,False
B0005,154,1.2663,3.5945,2.8676,-1.8595,35.815,0.06754,2286.7,False
B0005,155,1.264,3.5982,2.9171,-1.9945,36.008,0.06192,2228.8,False
B0005,156,1.262,3.5838,2.8181,-1.9996,37.223,0.06512,2252.0,False
B0005,157,1.2578,3.6202,2.8019,-1.9513,37.695,0.0671,2282.4,False
B0005,158,1.2415,3.5966,2.8906,-1.965,35.195,0.06358,2273.8,False
B0005,159,1.2339,3.6148,2.7744,-2.0576,36.356,0.06553,2223.4,False
B0005,160,1.2269,3.5768,2.8167,-2.0494,37.089,0.06547,2185.9,False
B0005,161,1.2032,3.5768,2.7811,-1.9114,36.682,0.06545,2102.8,False
B0005,162,1.1866,3.5727,2.727,-1.9309,36.715,0.06884,2137.8,False
B0005,163,1.1859,3.5761,2.751,-1.9141,34.565,0.06228,2118.4,False
B0005,164,1.1757,3.5902,2.9644,-2.0192,37.965,0.06855,2121.8,False
B0005,165,1.1752,3.5817,2.7857,-1.9651,37.059,0.0665,2159.6,False
B0005,166,1.1311,3.5413,2.8751,-2.0182,36.959,0.06436,2006.4,False
B0005,167,1.137,3.6197,2.8065,-2.0206,36.814,0.06496,1989.4,False
B0005,168,1.1345,3.5502,2.7228,-2.08,36.431,0.06761,2053.0,False
B0006,1,1.9972,3.672,2.8037,-1.9817,32.63,0.04977,3640.9,False
B0006,2,2.0046,3.6956,3.0777,-1.9033,33.933,0.04745,3580.5,False
B0006,3,2.0067,3.6798,3.0177,-2.0243,32.38,0.04966,3592.5,False
B0006,4,1.9824,3.6831,3.0665,-1.8859,32.403,0.05213,3553.6,False
B0006,5,1.9845,3.6834,3.0535,-2.0689,30.282,0.04581,3536.3,False
B0006,6,1.9969,3.6986,2.8527,-1.9795,32.801,0.04826,3610.2,False
B0006,7,1.9882,3.6867,2.9136,-1.9717,31.521,0.04799,3543.3,False
B0006,8,1.9791,3.7034,2.928,-1.9987,32.696,0.05165,3608.9,False
B0006,9,1.9883,3.6782,2.9706,-2.0265,33.115,0.05037,3566.5,False
B0006,10,1.9547,3.6898,2.991,-1.9516,33.789,0.04931,3527.5,False
B0006,11,1.9628,3.6819,2.9781,-2.0019,33.963,0.04978,3563.0,False
B0006,12,1.9683,3.7112,2.9424,-2.0025,32.075,0.04896,3562.8,False
B0006,13,1.9711,3.7075,3.0918,-1.9275,31.798,0.05132,3529.3,False
B0006,14,1.9621,3.6823,2.8782,-1.9818,32.009,0.05314,3466.7,False
B0006,15,1.939,3.7068,3.1051,-1.9875,31.039,0.05117,3550.4,False
B0006,16,1.9647,3.6981,3.0499,-2.0197,30.083,0.05122,3561.8,False
B0006,17,1.938,3.6775,3.0212,-2.0483,32.426,0.04707,3506.8,False
B0006,18,1.9585,3.6888,2.7941,-2.0498,33.482,0.04527,3515.0,False
B0006,19,1.9365,3.7066,2.8552,-1.9798,32.947,0.05494,3479.6,False
B0006,20,1.9493,3.6627,2.8557,-2.038,31.743,0.05097,3461.9,False
B0006,21,1.9451,3.7111,2.9544,-2.0794,32.205,0.05258,3444.9,False
B0006,22,1.9294,3.7069,2.9854,-1.9794,34.283,0.05235,3492.6,False
B0006,23,1.9645,3.6904,2.9617,-1.9786,32.652,0.04966,3505.1,False
B0006,24,1.9578,3.7002,2.8885,-1.9542,32.144,0.05034,3540.9,False
B0006,25,1.919,3.6949,2.8445,-1.9767,32.11,0.05061,3441.9,False
B0006,26,1.9267,3.6814,3.0625,-2.0867,33.302,0.05071,3479.4,False
B0006,27,1.9152,3.7139,2.8537,-1.952,30.994,0.05335,3459.6,False
B0006,28,1.9077,3.6857,2.8469,-1.9722,32.731,0.05243,3478.1,False
B0006,29,1.9333,3.6327,2.8957,-2.0082,30.648,0.05152,3517.4,False
B0006,30,1.9075,3.6928,2.959,-2.0336,34.033,0.05077,3447.3,False
B0006,31,1.8969,3.7218,3.0562,-2.0091,33.194,0.04924,3449.9,False
B0006,32,1.9097,3.6824,3.0634,-2.029,33.237,0.05232,3456.9,False
B0006,33,1.9101,3.6968,2.8566,-1.8885,30.972,0.05432,3479.2,False
B0006,34,1.8989,3.7294,2.9981,-1.9514,32.634,0.05159,3411.8,False
B0006,35,1.9086,3.7143,2.9184,-2.0456,33.373,0.05367,3455.2,False
B0006,36,1.9095,3.681,3.0246,-2.0434,30.908,0.05228,3434.5,False
B0006,37,1.8949,3.6251,2.8792,-1.944,31.966,0.05282,3369.1,False
B0006,38,1.911,3.6838,3.0685,-1.8837,34.051,0.05117,3421.9,False
B0006,39,1.8906,3.6938,2.8993,-2.0198,34.124,0.05196,3472.0,False
B0006,40,1.892,3.7195,2.9208,-1.9519,31.923,0.05045,3419.4,False
B0006,41,1.8983,3.6855,2.8646,-2.068,31.183,0.0485,3420.2,False
B0006,42,1.8969,3.6843,2.8601,-2.0095,32.456,0.05625,3370.8,False
B0006,43,1.8791,3.716,3.0286,-1.9718,32.84,0.05308,3405.6,False
B0006,44,1.8721,3.6984,2.9549,-1.9836,32.946,0.05132,3369.2,False
B0006,45,1.8713,3.6593,3.0383,-2.0552,33.095,0.05027,3389.7,False
B0006,46,1.863,3.6681,2.9959,-1.9337,33.152,0.05232,3368.3,False
B0006,47,1.851,3.6768,2.9826,-1.9934,32.962,0.05408,3358.7,False
B0006,48,1.8494,3.6438,2.8148,-2.0357,34.216,0.05238,3270.8,False
B0006,49,1.8539,3.6231,2.7562,-2.0094,32.452,0.05508,3373.1,False
B0006,50,1.8622,3.6366,2.8883,-1.9722,33.136,0.05472,3317.0,False
B0006,51,1.8813,3.663,2.8251,-2.0844,31.782,0.05541,3378.5,False
B0006,52,1.8669,3.6848,3.0043,-1.9318,32.562,0.0491,3336.2,False
B0006,53,1.8613,3.6871,3.0285,-2.0362,32.251,0.05204,3309.0,False
B0006,54,1.8467,3.6624,3.0098,-1.9595,32.774,0.05228,3328.3,False
B0006,55,1.8421,3.6534,2.9828,-2.0317,31.784,0.05348,3337.7,False
B0006,56,1.8317,3.6753,2.8425,-1.9829,32.997,0.05046,3259.2,False
B0006,57,1.8451,3.6973,2.7991,-1.9827,34.119,0.05279,3337.8,False
B0006,58,1.8351,3.6729,2.8488,-2.1172,33.932,0.05133,3289.5,False
B0006,59,1.8255,3.6456,2.853,-2.0365,33.425,0.05439,3295.6,False
B0006,60,1.8391,3.7074,2.8885,-2.0027,34.098,0.05575,3267.7,False
B0006,61,1.8308,3.7018,3.015,-1.9902,32.797,0.05262,3304.2,False
B0006,62,1.8287,3.6735,3.0329,-2.0339,33.56,0.05925,3238.4,False
B0006,63,1.8318,3.6596,3.011,-1.9977,33.771,0.05572,3302.9,False
B0006,64,1.8371,3.6287,2.9604,-1.9812,34.055,0.05082,3281.9,False
B0006,65,1.8245,3.6733,2.8391,-1.9458,31.288,0.05546,3284.4,False
B0006,66,1.8183,3.6433,2.7972,-2.1207,33.739,0.05065,3274.6,False
B0006,67,1.8164,3.6959,2.9773,-2.0347,32.595,0.05622,3285.7,False
B0006,68,1.8111,3.6669,3.0104,-1.9806,31.374,0.05528,3263.8,False
B0006,69,1.8361,3.6534,2.8619,-1.9101,34.175,0.05189,3311.6,False
B0006,70,1.8095,3.6771,2.8407,-2.0045,31.545,0.05408,3270.6,False
B0006,71,1.8045,3.6384,2.8565,-1.9818,32.447,0.05335,3203.0,False
B0006,72,1.7938,3.6583,2.9096,-2.032,33.878,0.05305,3236.2,False
B0006,73,1.7999,3.6874,3.0722,-2.0786,31.819,0.05294,3202.3,False
B0006,74,1.8027,3.6611,2.9874,-2.0869,33.388,0.05169,3230.0,False
B0006,75,1.7973,3.6231,2.8636,-1.9049,32.763,0.05457,3265.8,False
B0006,76,1.7915,3.6571,2.9522,-1.968,33.138,0.05214,3228.5,False
B0006,77,1.7846,3.6571,3.0064,-2.0669,34.34,0.05151,3192.4,False
B0006,78,1.8069,3.6936,3.0538,-2.047,32.629,0.05401,3253.6,False
B0006,79,1.7841,3.667,2.9104,-2.0721,32.779,0.05615,3170.3,False
B0006,80,1.7804,3.6507,2.9724,-2.0194,34.795,0.05541,3165.3,False
B0006,81,1.7862,3.6524,3.0291,-1.9843,32.791,0.05606,3192.0,False
B0006,82,1.7706,3.6525,2.8818,-1.945,34.005,0.05801,3255.1,False
B0006,83,1.7638,3.666,2.8579,-2.0389,32.787,0.05261,3143.2,False
B0006,84,1.7699,3.6412,2.9744,-2.0459,36.19,0.0537,3188.0,False
B0006,85,1.7557,3.6975,2.9116,-1.9852,32.119,0.05531,3126.6,False
B0006,86,1.7805,3.6833,2.9286,-2.1218,32.333,0.05576,3241.4,False
B0006,87,1.7743,3.6343,2.98,-1.9492,31.696,0.0545,3201.9,False
B0006,88,1.7575,3.6266,3.0169,-2.0164,33.307,0.05372,3150.1,False
B0006,89,1.7574,3.6725,2.88,-2.0205,33.548,0.05101,3177.5,False
B0006,90,1.755,3.664,2.8091,-2.0976,31.496,0.05545,3158.8,False
B0006,91,1.754,3.6539,2.7558,-1.9534,33.96,0.0544,3094.0,False
B0006,92,1.7573,3.688,2.9295,-2.044,34.13,0.05658,3209.9,False
B0006,93,1.7381,3.6562,2.8167,-1.9971,32.454,0.05607,3145.9,False
B0006,94,1.745,3.6661,2.9436,-1.9261,32.629,0.05392,3141.4,False
B0006,95,1.5852,3.6116,2.7799,-1.9984,36.477,0.05701,2860.2,True
B0006,96,1.7357,3.6738,3.0573,-2.0346,33.417,0.05737,3136.1,False
B0006,97,1.722,3.6714,2.9386,-1.9294,34.692,0.05614,3104.3,False
B0006,98,1.7312,3.6732,2.9084,-1.9882,34.485,0.05425,3097.6,False
B0006,99,1.7186,3.6365,2.8883,-1.9635,35.497,0.05848,3044.7,False
B0006,100,1.7351,3.6887,2.8753,-1.9949,31.582,0.05583,3091.2,False
B0006,101,1.7271,3.6278,2.8143,-1.9488,32.854,0.05318,3044.1,False
B0006,102,1.7197,3.6463,2.9099,-1.9773,33.232,0.05345,3078.8,False
B0006,103,1.7304,3.6716,3.0663,-1.969,32.457,0.05546,3119.1,False
B0006,104,1.7122,3.6655,2.7743,-1.9745,34.279,0.04992,3117.7,False
B0006,105,1.6837,3.6402,2.8687,-2.0159,32.431,0.05414,3061.5,False
B0006,106,1.6923,3.6764,2.9235,-2.0596,33.263,0.05412,3072.1,False
B0006,107,1.6141,3.634,2.5756,-1.9353,40.263,0.05539,2885.1,True
B0006,108,1.698,3.6292,2.9518,-2.0614,31.632,0.05528,3002.3,False
B0006,109,1.6958,3.6362,3.0148,-1.9,33.882,0.05657,2999.1,False
B0006,110,1.694,3.6584,2.8056,-1.9546,32.633,0.05555,3031.7,False
B0006,111,1.6995,3.6421,2.9996,-2.0118,33.069,0.05698,3066.3,False
B0006,112,1.6943,3.6455,2.9212,-2.0118,33.528,0.05632,3100.6,False
B0006,113,1.5339,3.5922,2.726,-1.9212,40.256,0.05938,2753.4,True
B0006,114,1.6818,3.6465,2.8919,-2.0384,33.103,0.05364,3039.0,False
B0006,115,1.6924,3.6585,2.8781,-1.9956,34.237,0.05676,3043.6,False
B0006,116,1.6789,3.6961,3.0834,-2.0333,34.36,0.05692,2980.0,False
B0006,117,1.6928,3.652,2.9163,-1.9406,34.469,0.05362,3100.3,False
B0006,118,1.6854,3.6526,2.769,-1.992,33.86,0.05497,3051.2,False
B0006,119,1.6809,3.6524,2.7611,-1.9935,33.845,0.05372,2981.4,False
B0006,120,1.679,3.5998,2.8828,-2.0239,35.234,0.05543,3042.0,False
B0006,121,1.6667,3.6523,2.9922,-2.0231,34.996,0.05468,3008.9,False
B0006,122,1.6772,3.6648,2.8497,-2.0382,32.558,0.05447,3038.7,False
B0006,123,1.6702,3.6526,2.9498,-1.9617,32.754,0.05891,3092.1,False
B0006,124,1.6661,3.6616,2.7805,-2.0905,33.4,0.05449,2955.7,False
B0006,125,1.677,3.657,2.9013,-2.0155,33.765,0.05839,3017.6,False
B0006,126,1.6623,3.6454,3.0336,-2.0703,32.048,0.05623,2993.9,False
B0006,127,1.6415,3.6455,2.93,-2.1078,33.236,0.05799,2966.2,False
B0006,128,1.6401,3.6492,2.7519,-1.9611,34.064,0.05626,2933.2,False
B0006,129,1.6536,3.6519,2.7987,-1.9934,34.897,0.05712,2999.9,False
B0006,130,1.6499,3.6314,3.0031,-1.9228,34.357,0.05357,2948.4,False
B0006,131,1.6413,3.6406,2.8008,-1.93,33.105,0.05558,2960.6,False
B0006,132,1.6298,3.6544,2.9199,-1.9901,34.711,0.05689,2935.5,False
B0006,133,1.6193,3.6472,2.9194,-1.9722,34.328,0.056,2916.8,False
B0006,134,1.6103,3.6454,2.9398,-2.0262,34.761,0.05993,2901.5,False
B0006,135,1.6263,3.6364,2.7461,-2.0399,33.891,0.05797,2952.7,False
B0006,136,1.5984,3.6649,2.9859,-2.0166,37.113,0.05882,2855.6,False
B0006,137,1.5806,3.6182,2.7735,-2.0182,34.644,0.05826,2867.1,False
B0006,138,1.5715,3.6142,2.7458,-1.97,34.904,0.05695,2848.9,False
B0006,139,1.5648,3.6243,2.993,-1.9349,35.245,0.05991,2854.1,False
B0006,140,1.5927,3.6047,2.7205,-2.0308,33.593,0.05599,2857.9,False
B0006,141,1.5448,3.6384,2.9624,-1.9759,35.239,0.06031,2769.4,False
B0006,142,1.5705,3.6403,3.0121,-2.0501,32.837,0.05862,2823.2,False
B0006,143,1.5369,3.6708,2.9096,-1.9637,33.847,0.05726,2767.6,False
B0006,144,1.5357,3.5932,2.9147,-1.9993,34.571,0.05766,2748.0,False
B0006,145,1.5245,3.6305,2.8542,-1.946,34.559,0.0586,2757.3,False
B0006,146,1.5247,3.62,2.8105,-1.951,36.143,0.06306,2718.5,False
B0006,147,1.5111,3.6269,2.8746,-2.0325,33.448,0.05996,2696.9,False
B0006,148,1.5042,3.6097,2.749,-1.9883,35.126,0.06108,2773.1,False
B0006,149,1.4984,3.6345,2.978,-2.0643,36.592,0.05818,2665.8,False
B0006,150,1.4876,3.6213,2.9614,-2.0152,36.304,0.05864,2635.9,False
B0006,151,1.4897,3.6333,3.0215,-2.0791,34.317,0.0601,2716.5,False
B0006,152,1.4623,3.6177,2.8762,-2.1191,36.26,0.05839,2642.1,False
B0006,153,1.4675,3.6418,2.7724,-2.1189,34.41,0.06093,2635.6,False
B0006,154,1.4621,3.6351,2.9827,-2.0107,33.381,0.05985,2644.3,False
B0006,155,1.4388,3.6284,3.0044,-1.9937,32.304,0.05867,2646.4,False
B0006,156,1.4365,3.5758,2.8017,-1.9993,36.486,0.06182,2599.5,False
B0006,157,1.438,3.6296,2.9188,-1.9514,33.792,0.06213,2622.6,False
