battery_id,cycle,capacity_Ah,voltage_mean_V,voltage_min_V,current_mean_A,temperature_max_C,internal_resistance_ohm,discharge_time_s,is_synthetic_fault,capacity_fade_pct,capacity_delta,rolling_capacity_std,voltage_sag,cycles_to_eol
B0005,15,1.9461,3.6878,3.0589,-2.017,33.164,0.04762,3515.9,False,2.612220387329234,-0.0022999999999999687,0.009510783353646263,0.6289000000000002,100
B0005,16,1.9548,3.6813,2.8244,-1.9964,31.742,0.05137,3519.3,False,2.1768503227743485,0.008700000000000152,0.008951145178131836,0.8569,99
B0005,17,1.9655,3.69,3.0647,-1.991,32.427,0.05341,3562.9,False,1.6413951859080234,0.010699999999999932,0.009872841536254598,0.6252999999999997,98
B0005,18,1.95,3.7218,2.9455,-2.032,31.373,0.05022,3468.8,False,2.4170544963218688,-0.01550000000000007,0.007701493361679344,0.7763,97
B0005,19,1.9498,3.688,2.8005,-2.0508,32.614,0.05268,3569.6,False,2.4270630035530205,-0.00019999999999997797,0.007517512886586304,0.8875000000000002,96
B0005,20,1.9697,3.7037,2.9322,-2.1066,32.45,0.04898,3532.9,False,1.4312165340539473,0.01990000000000003,0.009146201397301225,0.7715000000000001,95
B0005,21,1.9314,3.6869,2.839,-1.9921,32.253,0.0493,3426.3,False,3.3478456688184943,-0.0383,0.015170266971941892,0.8479000000000001,94
B0005,22,1.8216,3.6789,2.7147,-1.9935,41.633,0.05164,3257.1,True,8.842516138717905,-0.1097999999999999,0.05909610816288973,0.9642,93
B0005,23,1.9529,3.6765,2.834,-2.0451,33.214,0.05171,3510.5,False,2.2719311414702403,0.13129999999999997,0.0594222769674805,0.8424999999999998,92
B0005,24,1.9282,3.6761,3.0268,-2.0227,31.205,0.04888,3476.0,False,3.507981784516845,-0.024700000000000166,0.05794258364967825,0.6492999999999998,91
B0005,25,1.9414,3.6944,2.8264,-1.9857,33.657,0.05161,3482.3,False,2.8474203072611726,0.0132000000000001,0.05315091720751351,0.8679999999999999,90
B0005,26,1.9337,3.6986,2.8746,-1.9908,31.173,0.04859,3530.3,False,3.23274783566031,-0.00770000000000004,0.053336882173594995,0.8239999999999998,89
B0005,27,1.9369,3.687,3.0332,-1.9269,31.271,0.04947,3505.8,False,3.0726117199619596,0.0032000000000000917,0.009319173783119456,0.6537999999999999,88
B0005,28,1.9128,3.6868,3.0436,-1.9831,33.931,0.05193,3462.3,False,4.278636841315109,-0.02410000000000001,0.011051470490390491,0.6431999999999998,87
B0005,29,1.8933,3.683,2.8747,-2.0609,31.762,0.05147,3435.3,False,5.2544662963519,-0.019500000000000073,0.02018952698801946,0.8083,86
B0005,30,1.8975,3.6852,3.0481,-1.9756,32.131,0.05139,3445.6,False,5.044287644497825,0.0041999999999999815,0.0200695789691752,0.6371000000000002,85
B0005,31,1.9132,3.7137,3.0278,-2.0348,32.297,0.05222,3449.0,False,4.2586198268528275,0.015700000000000047,0.017132512950526448,0.6858999999999997,84
B0005,32,1.894,3.6859,2.9602,-1.8741,34.513,0.05041,3400.6,False,5.219436521042886,-0.019200000000000106,0.010023622099817383,0.7257000000000002,83
B0005,33,1.8872,3.6713,3.0659,-1.9397,31.948,0.05095,3332.6,False,5.5597257669018685,-0.006799999999999917,0.009764886072041101,0.6053999999999999,82
B0005,34,1.8973,3.6633,2.803,-1.8894,32.087,0.0503,3412.2,False,5.054296151728965,0.010099999999999998,0.009543217486777875,0.8603000000000001,81
B0005,35,1.8783,3.6524,2.9781,-2.0644,31.633,0.05611,3468.2,False,6.005104338687883,-0.018999999999999906,0.012963988583763002,0.6743000000000001,80
B0005,36,1.8812,3.6748,3.031,-1.9136,31.726,0.05189,3409.5,False,5.859980983836255,0.0028999999999999027,0.008103394350513176,0.6437999999999997,79
B0005,37,1.8943,3.6766,3.0305,-2.0687,32.396,0.05158,3416.7,False,5.204423760196164,0.013100000000000112,0.008163516399195218,0.6461000000000001,78
B0005,38,1.8814,3.6916,2.8874,-1.9922,33.063,0.05248,3386.6,False,5.849972476605114,-0.012900000000000134,0.008643205423911216,0.8042000000000002,77
B0005,39,1.8768,3.6878,3.0334,-1.8593,34.832,0.05561,3389.8,False,6.080168142921483,-0.0045999999999999375,0.006932171376987458,0.6544000000000003,76
B0005,40,1.756,3.6686,2.9183,-1.9404,41.351,0.05673,3174.5,True,12.125306510533951,-0.12080000000000002,0.05736050906329105,0.7503000000000002,75
B0005,41,1.867,3.6706,2.8368,-1.9974,32.506,0.05245,3353.0,False,6.570584997247664,0.11099999999999999,0.05626197650278464,0.8337999999999997,74
B0005,42,1.8766,3.7109,2.9721,-2.0118,32.917,0.05306,3366.8,False,6.090176650152623,0.009600000000000053,0.05367632625282663,0.7387999999999999,73
B0005,43,1.8546,3.6847,3.015,-2.0767,33.737,0.05225,3336.4,False,7.1911124455787405,-0.02200000000000002,0.05123416828640708,0.6696999999999997,72
B0005,44,1.8586,3.6721,2.7874,-1.9709,34.581,0.05518,3358.7,False,6.990942300955805,0.0040000000000000036,0.049119527685024394,0.8847,71
B0005,45,1.8836,3.6913,2.85,-2.0148,32.765,0.05093,3420.2,False,5.7398788970625,0.02499999999999991,0.012105866346524224,0.8412999999999999,70
B0005,46,1.8514,3.6934,2.8351,-1.9965,34.063,0.05447,3387.2,False,7.351248561277091,-0.032200000000000006,0.014270529072178958,0.8582999999999998,69
B0005,47,1.8675,3.6487,3.0075,-2.0586,32.277,0.05567,3380.7,False,6.5455637291698014,0.016100000000000003,0.012932439831675314,0.6412,68
B0005,48,1.8503,3.6573,2.9812,-2.0608,32.227,0.05362,3365.1,False,7.406295351048387,-0.017199999999999882,0.013758888036462111,0.6761000000000004,67
B0005,49,1.8604,3.6332,2.8764,-1.9964,33.252,0.05603,3286.8,False,6.900865735875494,0.010099999999999998,0.013661734882506717,0.7568000000000001,66
B0005,50,1.8454,3.6886,3.0535,-1.9262,33.296,0.05479,3304.6,False,7.651503778211477,-0.015000000000000124,0.008840531658214187,0.6351,65
B0005,51,1.8565,3.6998,2.8303,-1.9883,33.132,0.05114,3337.2,False,7.096031626882848,0.01110000000000011,0.00861260703851562,0.8695000000000004,64
B0005,52,1.8438,3.6842,2.8034,-2.0529,32.812,0.05609,3296.6,False,7.731571836060647,-0.012699999999999934,0.0071047167431137655,0.8808000000000002,63
B0005,53,1.8342,3.6792,2.9354,-1.9994,34.324,0.05503,3326.7,False,8.211980183155676,-0.009600000000000053,0.010497999809481594,0.7437999999999998,62
B0005,54,1.8449,3.7233,2.9322,-2.1002,34.535,0.05219,3324.1,False,7.67652504628934,0.010699999999999932,0.007913469529850361,0.7911000000000001,61
B0005,55,1.8495,3.6454,2.9568,-2.0801,32.109,0.05389,3344.9,False,7.446329379972982,0.0045999999999999375,0.008178447285388059,0.6886000000000001,60
B0005,56,1.8362,3.6472,2.7481,-1.9973,32.511,0.05419,3326.3,False,8.111895110844214,-0.013299999999999867,0.006363725324042806,0.8991000000000002,59
B0005,57,1.8319,3.69,2.8209,-1.9735,32.304,0.053,3303.3,False,8.32707801631386,-0.0042999999999999705,0.0075128556488102466,0.8691,58
B0005,58,1.8357,3.6675,2.8706,-2.0133,32.868,0.05494,3244.5,False,8.136916378922077,0.0038000000000000256,0.007282719272350149,0.7968999999999999,57
B0005,59,1.8116,3.6421,2.7873,-2.0339,33.88,0.0532,3266.8,False,9.342941500275225,-0.02410000000000001,0.01368345716549183,0.8548,56
B0005,60,1.8325,3.7014,3.0894,-2.0385,34.359,0.05354,3273.3,False,8.297052494620427,0.02089999999999992,0.010228245206282707,0.6120000000000001,55
B0005,61,1.8126,3.6423,2.9844,-2.0179,33.928,0.05719,3221.3,False,9.2928989641195,-0.01990000000000003,0.011742785018888693,0.6579000000000002,54
B0005,62,1.8195,3.6521,3.0394,-2.0066,31.252,0.05547,3257.0,False,8.947605464644948,0.006899999999999906,0.011180205722607785,0.6126999999999998,53
B0005,63,1.8073,3.6497,2.9121,-1.9786,32.967,0.05451,3264.0,False,9.558124405744884,-0.012199999999999989,0.009857230848459402,0.7376,52
B0005,64,1.8229,3.6666,2.8932,-1.9466,32.731,0.05577,3292.7,False,8.777460841715456,0.015600000000000058,0.00968958203432043,0.7733999999999996,51
B0005,65,1.8054,3.6778,2.9355,-1.8962,33.237,0.05421,3282.0,False,9.653205224440775,-0.01750000000000007,0.007569874503570894,0.7422999999999997,50
B0005,66,1.7953,3.676,2.8856,-1.9843,32.395,0.05092,3169.3,False,10.15863483961368,-0.010099999999999998,0.011193390907129314,0.7904,49
B0005,67,1.7896,3.6593,2.9337,-1.9031,34.369,0.05228,3231.7,False,10.443877295701343,-0.005699999999999816,0.012777519321049355,0.7256,48
B0005,68,1.7937,3.6634,2.8676,-1.969,32.899,0.05625,3194.4,False,10.238702897462836,0.0040999999999999925,0.013360276943229242,0.7958000000000003,47
B0005,69,1.7949,3.7212,2.9674,-1.9283,33.322,0.05526,3229.0,False,10.178651854075971,0.0011999999999998678,0.005832409450627674,0.7538,46
B0005,70,1.7901,3.6529,2.9586,-2.0426,33.925,0.05637,3233.2,False,10.41885602762348,-0.0047999999999999154,0.0026910964307813754,0.6942999999999997,45
B0005,71,1.786,3.677,3.0251,-1.9532,31.453,0.05361,3155.1,False,10.624030425861974,-0.0040999999999999925,0.003541609803431156,0.6518999999999999,44
B0005,72,1.7709,3.6929,3.0468,-2.036,31.872,0.04865,3171.4,False,11.379672721813538,-0.015100000000000113,0.009708861931233255,0.6460999999999997,43
B0005,73,1.8071,3.6798,2.9865,-1.9767,31.596,0.05326,3255.8,False,9.568132912976035,0.03620000000000001,0.013200757554010172,0.6933000000000002,42
B0005,74,1.7791,3.6827,2.9251,-1.9666,32.637,0.05621,3251.2,False,10.969323925336539,-0.028000000000000025,0.013560899675159773,0.7576,41
B0005,75,1.7673,3.6473,2.7502,-2.0096,34.8,0.05377,3224.7,False,11.559825851974171,-0.01179999999999981,0.015761408566487143,0.8971,40
B0005,76,1.7753,3.6715,2.9307,-2.0181,32.407,0.0536,3209.1,False,11.15948556272831,0.008000000000000007,0.01582238920010906,0.7408000000000001,39
B0005,77,1.7553,3.6761,2.929,-1.9426,31.074,0.05332,3109.0,False,12.160336285842966,-0.020000000000000018,0.019223215131702557,0.7471000000000001,38
B0005,78,1.7598,3.6689,2.8742,-2.0127,33.282,0.05521,3137.3,False,11.935144873142168,0.0044999999999999485,0.010043306228513306,0.7946999999999997,37
B0005,79,1.7721,3.6791,2.8257,-1.9722,33.664,0.05863,3187.2,False,11.31962167842666,0.012299999999999978,0.008341342817537893,0.8534000000000002,36
B0005,80,1.759,3.6488,2.7937,-2.0622,32.557,0.05468,3176.3,False,11.975178902066762,-0.013100000000000112,0.008820147391041007,0.8551000000000002,35
B0005,81,1.7596,3.6486,2.947,-1.963,33.283,0.0535,3183.8,False,11.945153380373307,0.000600000000000156,0.006383024361513879,0.7016,34
B0005,82,1.758,3.6347,3.0325,-1.9869,32.552,0.05522,3120.8,False,12.025221438222488,-0.0016000000000000458,0.005855766388755703,0.6021999999999998,33
B0005,83,1.7665,3.6899,2.8615,-1.9818,30.991,0.05236,3170.9,False,11.599859880898766,0.008499999999999952,0.0060747839467493745,0.8284000000000002,32
B0005,84,1.7395,3.6752,2.8555,-2.0588,32.726,0.05568,3179.4,False,12.951008357103532,-0.026999999999999913,0.010088458752439298,0.8196999999999997,31
B0005,85,1.735,3.6652,2.8451,-2.0826,32.309,0.05445,3107.4,False,13.176199769804331,-0.0044999999999999485,0.013682726336503984,0.8201,30
B0005,86,1.7524,3.6677,2.7743,-1.9742,32.908,0.0575,3135.4,False,12.305459640694593,0.01739999999999986,0.01300834347638687,0.8933999999999997,29
B0005,87,1.7349,3.6711,2.8243,-1.9776,31.905,0.05638,3091.8,False,13.181204023419902,-0.01749999999999985,0.01366649186878792,0.8468,28
B0005,88,1.7406,3.6326,2.8005,-2.0403,32.273,0.05661,3140.4,False,12.895961567332236,0.005699999999999816,0.0071454181123035395,0.8321000000000001,27
B0005,89,1.7292,3.6884,2.831,-1.9984,33.894,0.05418,3126.7,False,13.466446479507576,-0.011399999999999855,0.00879329289854665,0.8574000000000002,26
B0005,90,1.727,3.6508,2.8493,-2.052,31.225,0.05868,3185.1,False,13.57654005905019,-0.0021999999999999797,0.01018832665355932,0.8014999999999999,25
B0005,91,1.7253,3.6201,2.901,-2.0143,33.458,0.05327,3123.0,False,13.66161237051493,-0.0017000000000000348,0.006290866394990114,0.7191000000000001,24
B0005,92,1.7316,3.6299,2.7876,-1.8974,33.782,0.05469,3112.7,False,13.346344392733823,0.006299999999999972,0.005998166386456308,0.8423000000000003,23
B0005,93,1.7296,3.6248,2.9071,-2.0195,35.47,0.05506,3163.3,False,13.446429465045284,-0.0020000000000000018,0.002438852188963247,0.7177000000000002,22
B0005,94,1.7094,3.6682,3.0629,-2.0435,33.921,0.05824,3067.2,False,14.45728869539108,-0.020199999999999996,0.00882167784492291,0.6053000000000002,21
B0005,95,1.7006,3.6547,2.8925,-2.0171,33.715,0.05258,3012.5,False,14.897663013561536,-0.008800000000000141,0.01361139228733035,0.7622,20
B0005,96,1.7193,3.6474,2.8247,-1.9608,33.956,0.05419,3055.3,False,13.961867587449328,0.01870000000000016,0.013208709248052742,0.8227000000000002,19
B0005,97,1.7199,3.665,2.8027,-1.9807,34.101,0.05638,3090.8,False,13.931842065755895,0.0005999999999999339,0.01108480942549712,0.8622999999999998,18
B0005,98,1.7167,3.67,2.7716,-2.0261,33.264,0.05471,3113.8,False,14.091978181454245,-0.0032000000000000917,0.008178447285370533,0.8984000000000001,17
B0005,99,1.7206,3.6489,2.7623,-1.9843,33.431,0.05749,3029.5,False,13.896812290446881,0.0039000000000000146,0.0084146895367321,0.8865999999999996,16
B0005,100,1.6943,3.6385,2.9647,-2.0482,32.919,0.05571,3083.2,False,15.212930991342644,-0.02629999999999999,0.011199464272883153,0.6738,15
B0005,101,1.6972,3.634,2.9186,-1.9475,32.841,0.05424,3071.7,False,15.067807636491015,0.0029000000000001247,0.012896239762022763,0.7153999999999998,14
B0005,102,1.6944,3.6671,3.0666,-1.9649,32.798,0.05609,3043.7,False,15.207926737727073,-0.0028000000000001357,0.012915997832129208,0.6004999999999998,13
B0005,103,1.6815,3.621,2.8916,-2.0175,32.889,0.05618,3060.6,False,15.853475454136012,-0.012899999999999912,0.014225856740441009,0.7294,12
B0005,104,1.6679,3.6203,2.8153,-1.9269,34.275,0.05818,2968.0,False,16.534053945853977,-0.013600000000000056,0.012320024350606218,0.8049999999999997,11
B0005,105,1.6765,3.6604,3.0153,-1.9726,33.753,0.05703,3022.5,False,16.103688134914673,0.008600000000000163,0.012276603764866046,0.6451000000000002,10
B0005,106,1.6925,3.67,3.0368,-2.1124,34.847,0.05852,3016.0,False,15.303007556422966,0.015999999999999792,0.01108774097819394,0.6332,9
B0005,107,1.6632,3.6515,2.7954,-1.9101,34.537,0.05599,2966.9,False,16.769253865785917,-0.02929999999999988,0.01152918036980548,0.8561000000000001,8
B0005,108,1.6789,3.6459,2.9095,-1.8976,35.712,0.05869,2994.4,False,15.983586048140918,0.015700000000000047,0.011293360881487276,0.7364000000000002,7
B0005,109,1.6844,3.6655,2.8852,-1.9375,34.529,0.05779,3051.0,False,15.708352099284395,0.005499999999999838,0.010808098815217864,0.7803,6
B0005,110,1.6763,3.6158,3.0101,-2.0278,32.663,0.05984,3069.2,False,16.113696642145825,-0.008099999999999996,0.010820489822531787,0.6057000000000001,5
B0005,111,1.6835,3.6576,2.8795,-1.9994,34.102,0.05414,3042.2,False,15.75339038182455,0.007200000000000095,0.008532467403952432,0.7780999999999998,4
B0005,112,1.6675,3.6241,3.0229,-2.004,35.792,0.05844,3001.9,False,16.55407096031627,-0.016000000000000014,0.006802352534198188,0.6012,3
B0005,113,1.6664,3.6508,2.89,-2.0541,33.85,0.05518,2962.1,False,16.609117750087567,-0.0010999999999998789,0.008523320948990819,0.7607999999999997,2
B0005,114,1.6661,3.6577,2.8069,-2.0061,34.999,0.0588,3029.7,False,16.6241305109343,-0.000300000000000189,0.007699870128742282,0.8508,1
B0005,115,1.5173,3.6059,2.6354,-1.981,42.018,0.05717,2721.6,True,24.07045989090727,-0.14879999999999982,0.06906850222785645,0.9704999999999999,0
B0005,116,1.6572,3.6445,2.8057,-1.9874,33.553,0.0556,2992.3,False,17.069509082720312,0.1398999999999999,0.06587013739168454,0.8388,0
B0005,117,1.641,3.651,3.0062,-2.057,33.673,0.06006,2919.0,False,17.880198168443172,-0.016199999999999992,0.06361898301607301,0.6447999999999996,0
B0005,118,1.6139,3.6048,2.7413,-1.9985,34.199,0.06015,2824.8,False,19.23635089826353,-0.027100000000000124,0.060271261808588064,0.8635000000000002,0
B0005,119,1.629,3.6756,3.0442,-2.019,33.473,0.05563,2922.4,False,18.480708602311967,0.015100000000000113,0.05510042649562121,0.6314000000000002,0
B0005,120,1.6293,3.6811,3.0742,-1.9047,34.26,0.06092,2930.0,False,18.465695841465248,0.00029999999999996696,0.01611139348409687,0.6069,0
B0005,121,1.6064,3.6483,2.8656,-1.9574,33.654,0.05981,2880.6,False,19.611669919431517,-0.02289999999999992,0.013727964160769863,0.7826999999999997,0
B0005,122,1.5902,3.6567,2.9435,-1.9861,34.473,0.05887,2875.1,False,20.422359005154377,-0.016199999999999992,0.016454573832201322,0.7132000000000001,0
B0005,123,1.5657,3.6482,2.9751,-2.0721,34.547,0.05885,2797.5,False,21.64840114096982,-0.024499999999999966,0.02705599748668207,0.6731000000000003,0
B0005,124,1.5834,3.6107,2.8541,-2.0292,34.453,0.05889,2819.9,False,20.76264825101336,0.017699999999999827,0.024096369021064813,0.7566000000000002,0
B0005,125,1.5724,3.6371,2.8885,-2.0979,34.553,0.05811,2827.2,False,21.31311614872642,-0.010999999999999899,0.015884646675306077,0.7486000000000002,0
B0005,126,1.5549,3.6377,2.7424,-2.0556,33.499,0.05672,2807.4,False,22.188860531451738,-0.01750000000000007,0.014006676979187295,0.8953000000000002,0
B0005,127,1.5576,3.625,2.9959,-2.0852,33.821,0.05773,2791.4,False,22.05374568383125,0.0027000000000001467,0.011558330329216453,0.6291000000000002,0
B0005,128,1.5355,3.6241,2.7685,-2.0338,33.924,0.06025,2717.9,False,23.159685732872937,-0.02210000000000001,0.018237680773587298,0.8555999999999999,0
B0005,129,1.5291,3.6314,2.7997,-1.9206,34.203,0.06354,2745.6,False,23.479957964269637,-0.006400000000000183,0.01753952678949082,0.8317000000000001,0
B0005,130,1.5024,3.6268,2.7728,-2.0376,35.383,0.06106,2685.7,False,24.81609367962768,-0.026699999999999946,0.022363698263016592,0.8539999999999996,0
B0005,131,1.5151,3.6504,2.788,-2.0481,35.439,0.06243,2670.7,False,24.180553470449883,0.012699999999999934,0.020948579904118688,0.8624,0
B0005,132,1.492,3.6065,2.7401,-2.0286,34.882,0.06392,2680.6,False,25.336536055647297,-0.0230999999999999,0.01807393150366656,0.8664000000000001,0
B0005,133,1.4894,3.6188,2.9792,-1.9997,35.512,0.06254,2730.3,False,25.4666466496522,-0.0025999999999999357,0.01658417920788424,0.6395999999999997,0
B0005,134,1.4783,3.6335,2.9712,-2.0044,36.07,0.06217,2667.3,False,26.02211880098083,-0.01110000000000011,0.013937826229337636,0.6623000000000001,0
B0005,135,1.4741,3.6309,2.8914,-1.9855,34.8,0.06119,2565.5,False,26.232297452834906,-0.0041999999999999815,0.015998656193543504,0.7395,0
B0005,136,1.4591,3.5459,2.8053,-1.9774,35.723,0.05849,2605.0,False,26.98293549517089,-0.014999999999999902,0.013198371111587889,0.7406000000000001,0
B0005,137,1.459,3.6092,2.8224,-2.0001,35.654,0.06405,2630.1,False,26.98793974878646,-9.999999999998899e-05,0.013060130167773633,0.7867999999999999,0
B0005,138,1.4253,3.6116,3.0109,-2.0682,35.193,0.06001,2593.2,False,28.67437321723465,-0.03370000000000006,0.020833098665325265,0.6007000000000002,0
B0005,139,1.4256,3.6082,2.8185,-1.9888,36.063,0.05949,2534.9,False,28.65936045638793,0.00029999999999996696,0.02202582575067658,0.7897000000000003,0
B0005,140,1.4263,3.6057,2.8258,-1.9778,35.905,0.05841,2574.3,False,28.624330681078924,0.0006999999999999229,0.018251931404625638,0.7799,0
B0005,141,1.4127,3.6194,3.0073,-2.0702,35.855,0.06114,2528.3,False,29.30490917279688,-0.013599999999999834,0.01728574557255624,0.6121000000000003,0
B0005,142,1.404,3.6402,2.9303,-1.9343,35.466,0.06262,2550.3,False,29.740279237351753,-0.008700000000000152,0.010012342383235581,0.7099000000000002,0
B0005,143,1.3865,3.6106,2.8848,-2.003,34.951,0.06144,2514.8,False,30.61602362007706,-0.01749999999999985,0.01657851018635648,0.7258,0
B0005,144,1.3754,3.6131,2.8129,-2.0187,36.504,0.06325,2438.6,False,31.1714957714057,-0.01110000000000011,0.020319867125527996,0.8002000000000002,0
B0005,145,1.3798,3.597,2.7388,-2.0523,34.7,0.06251,2475.4,False,30.95130861232047,0.0043999999999999595,0.016020518093966308,0.8582000000000001,0
B0005,146,1.352,3.6152,2.8128,-1.9842,36.298,0.06419,2370.4,False,32.342491117449825,-0.027799999999999825,0.01885730627632375,0.8024,0
B0005,147,1.3417,3.5577,2.8811,-2.0002,36.995,0.06554,2421.2,False,32.85792923985388,-0.010300000000000198,0.019233486423398706,0.6766000000000001,0
B0005,148,1.3304,3.6093,2.8892,-2.0001,37.004,0.06228,2418.9,False,33.423409898413645,-0.011299999999999866,0.02132224190836984,0.7201,0
B0005,149,1.3322,3.5807,2.8174,-1.9651,36.109,0.06183,2372.1,False,33.33333333333333,0.0018000000000000238,0.020145024199514614,0.7633000000000001,0
B0005,150,1.31,3.6074,2.7544,-1.9781,34.898,0.06339,2361.4,False,34.44427763599058,-0.022199999999999998,0.015594486205034496,0.8530000000000002,0
B0005,151,1.3299,3.5719,2.8999,-1.9925,36.432,0.06364,2407.1,False,33.44843116649151,0.01990000000000003,0.011566892408897236,0.6719999999999997,0
B0005,152,1.2939,3.6232,2.7783,-1.9434,35.592,0.064,2296.9,False,35.249962468097884,-0.03600000000000003,0.016834696314427456,0.8449,0
B0005,153,1.29,3.6224,2.9809,-2.0098,35.145,0.06374,2274.2,False,35.44512835910524,-0.0039000000000000146,0.01962689481295994,0.6414999999999997,0
B0005,154,1.2663,3.5945,2.8676,-1.8595,35.815,0.06754,2286.7,False,36.63113646599609,-0.023700000000000054,0.023702890119118213,0.7269000000000001,0
B0005,155,1.264,3.5982,2.9171,-1.9945,36.008,0.06192,2228.8,False,36.74623429915428,-0.0022999999999999687,0.026636197176004475,0.6810999999999998,0
B0005,156,1.262,3.5838,2.8181,-1.9996,37.223,0.06512,2252.0,False,36.84631937146574,-0.0020000000000000018,0.015391653582347238,0.7657000000000003,0
B0005,157,1.2578,3.6202,2.8019,-1.9513,37.695,0.0671,2282.4,False,37.05649802331982,-0.0041999999999999815,0.012678012462487221,0.8183000000000002,0
B0005,158,1.2415,3.5966,2.8906,-1.965,35.195,0.06358,2273.8,False,37.872191362658256,-0.01629999999999998,0.009907926119979815,0.706,0
B0005,159,1.2339,3.6148,2.7744,-2.0576,36.356,0.06553,2223.4,False,38.25251463744183,-0.007600000000000051,0.013373219507619572,0.8403999999999998,0
B0005,160,1.2269,3.5768,2.8167,-2.0494,37.089,0.06547,2185.9,False,38.60281239053195,-0.006999999999999895,0.015118101732657176,0.7601,0
B0005,161,1.2032,3.5768,2.7811,-1.9114,36.682,0.06545,2102.8,False,39.788820497422805,-0.023700000000000054,0.020079666331863328,0.7957000000000001,0
B0005,162,1.1866,3.5727,2.727,-1.9309,36.715,0.06884,2137.8,False,40.61952659760796,-0.016599999999999948,0.02284944200629323,0.8457000000000003,0
B0005,163,1.1859,3.5761,2.751,-1.9141,34.565,0.06228,2118.4,False,40.654556372916986,-0.000700000000000145,0.022332599490407574,0.8251,0
B0005,164,1.1757,3.5902,2.9644,-2.0192,37.965,0.06855,2121.8,False,41.164990241705446,-0.010199999999999987,0.020053254099994523,0.6257999999999999,0
B0005,165,1.1752,3.5817,2.7857,-1.9651,37.059,0.0665,2159.6,False,41.19001150978331,-0.0004999999999999449,0.0113647261295175,0.7960000000000003,0
B0005,166,1.1311,3.5413,2.8751,-2.0182,36.959,0.06436,2006.4,False,43.39688735425111,-0.04410000000000003,0.02289683384223513,0.6661999999999999,0
B0005,167,1.137,3.6197,2.8065,-2.0206,36.814,0.06496,1989.4,False,43.1016363909323,0.005900000000000016,0.025038710030648767,0.8131999999999997,0
B0005,168,1.1345,3.5502,2.7228,-2.08,36.431,0.06761,2053.0,False,43.22674273132162,-0.0024999999999999467,0.022691077541599835,0.8273999999999999,0
B0006,1,1.9972,3.672,2.8037,-1.9817,32.63,0.04977,3640.9,False,0.0,0.0,0.0,0.8683000000000001,94
B0006,2,2.0046,3.6956,3.0777,-1.9033,33.933,0.04745,3580.5,False,-0.37051872621669535,0.007399999999999851,0.005232590180780268,0.6179000000000001,93
B0006,3,2.0067,3.6798,3.0177,-2.0243,32.38,0.04966,3592.5,False,-0.4756659323052137,0.0020999999999999908,0.004990323970779057,0.6621000000000001,92
B0006,4,1.9824,3.6831,3.0665,-1.8859,32.403,0.05213,3553.6,False,0.7410374524334129,-0.02429999999999999,0.01099920451669116,0.6166,91
B0006,5,1.9845,3.6834,3.0535,-2.0689,30.282,0.04581,3536.3,False,0.6358902463448945,0.0020999999999999908,0.011212359252182372,0.6298999999999997,90
